944 (0.16)  #SUP: 0.16
452 (0.41)  #SUP: 0.41
218 (0.95)  #SUP: 0.95
80 (0.78)  #SUP: 171.13999999999996
86 (0.61)  #SUP: 205.98
783 (0.21)  #SUP: 0.21
304 (0.88)  #SUP: 0.88
710 (0.93)  #SUP: 0.93
724 (0.84)  #SUP: 0.84
848 (0.2)  #SUP: 0.2
803 (0.74)  #SUP: 0.74
362 (0.63)  #SUP: 0.63
914 (0.65)  #SUP: 0.65
726 (0.11)  #SUP: 0.11
56 (0.48)  #SUP: 124.70999999999997
465 (0.79)  #SUP: 0.79
22 (0.17)  #SUP: 388.20999999999947
743 (0.21)  #SUP: 0.21
593 (0.81)  #SUP: 0.81
367 (0.11)  #SUP: 0.11
305 (0.18)  #SUP: 0.18
648 (0.62)  #SUP: 0.62
639 (0.88)  #SUP: 0.88
930 (0.27)  #SUP: 0.27
740 (0.17)  #SUP: 0.17
543 (0.79)  #SUP: 0.79
853 (0.96)  #SUP: 0.96
897 (0.54)  #SUP: 0.54
552 (0.68)  #SUP: 0.68
596 (0.43)  #SUP: 0.43
706 (0.49)  #SUP: 0.49
244 (0.55)  #SUP: 0.55
902 (0.51)  #SUP: 0.51
177 (0.51)  #SUP: 0.51
448 (0.1)  #SUP: 0.1
924 (0.62)  #SUP: 0.62
995 (0.55)  #SUP: 0.55
633 (0.93)  #SUP: 0.93
659 (0.48)  #SUP: 0.48
933 (0.24)  #SUP: 0.24
619 (0.54)  #SUP: 0.54
631 (0.37)  #SUP: 0.37
658 (0.17)  #SUP: 0.17
967 (0.13)  #SUP: 0.13
283 (0.95)  #SUP: 0.95
256 (0.18)  #SUP: 0.18
548 (0.38)  #SUP: 0.38
311 (0.22)  #SUP: 0.22
666 (0.73)  #SUP: 0.73
126 (0.22)  #SUP: 214.58000000000018
194 (0.99)  #SUP: 0.99
738 (0.31)  #SUP: 0.31
21 (0.49)  #SUP: 954.2299999999998
551 (0.15)  #SUP: 0.15
223 (0.65)  #SUP: 0.65
965 (0.19)  #SUP: 0.19
64 (0.52)  #SUP: 228.9699999999999
197 (0.76)  #SUP: 0.76
830 (0.57)  #SUP: 0.57
604 (0.53)  #SUP: 0.53
776 (0.21)  #SUP: 0.21
424 (0.77)  #SUP: 0.77
394 (0.95)  #SUP: 0.95
65 (0.49)  #SUP: 13.73
